x,y
0.29973466,-0.47301130
0.29958866,-0.47305504
0.29944265,-0.47309874
0.29929663,-0.47314241
0.29915059,-0.47318604
0.29900455,-0.47322964
0.29885849,-0.47327320
0.29871242,-0.47331673
0.29856634,-0.47336022
0.29842025,-0.47340367
0.29827415,-0.47344709
0.29812804,-0.47349048
0.29798192,-0.47353383
0.29783578,-0.47357715
0.29768964,-0.47362043
0.29754348,-0.47366367
0.29739731,-0.47370688
0.29725113,-0.47375006
0.29710494,-0.47379320
0.29695874,-0.47383630
0.29681253,-0.47387937
0.29666630,-0.47392240
0.29652007,-0.47396540
0.29637382,-0.47400837
0.29622757,-0.47405129
0.29608130,-0.47409419
0.29593502,-0.47413705
0.29578873,-0.47417987
0.29564242,-0.47422266
0.29549611,-0.47426541
0.29534979,-0.47430813
0.29520345,-0.47435081
0.29505710,-0.47439345
0.29491075,-0.47443607
0.29476438,-0.47447864
0.29461800,-0.47452118
0.29447160,-0.47456369
0.29432520,-0.47460616
0.29417879,-0.47464860
0.29403236,-0.47469100
0.29388593,-0.47473336
0.29373948,-0.47477569
0.29359302,-0.47481799
0.29344655,-0.47486025
0.29330007,-0.47490247
0.29315358,-0.47494466
0.29300707,-0.47498682
0.29286056,-0.47502894
0.29271403,-0.47507102
0.29256750,-0.47511307
0.29242095,-0.47515508
0.29227439,-0.47519706
0.29212782,-0.47523900
0.29198124,-0.47528091
0.29183464,-0.47532278
0.29168804,-0.47536462
0.29154143,-0.47540642
0.29139480,-0.47544819
0.29124816,-0.47548992
0.29110151,-0.47553162
0.29095485,-0.47557328
0.29080818,-0.47561491
0.29066150,-0.47565650
0.29051481,-0.47569806
0.29036810,-0.47573958
0.29022139,-0.47578106
0.29007466,-0.47582251
0.28992792,-0.47586393
0.28978117,-0.47590531
0.28963441,-0.47594665
0.28948764,-0.47598796
0.28934086,-0.47602924
0.28919406,-0.47607048
0.28904726,-0.47611168
0.28890044,-0.47615285
0.28875361,-0.47619399
0.28860678,-0.47623508
0.28845993,-0.47627615
0.28831307,-0.47631718
